Date,Open,High,Low,Close,Volume,Close_Time,Number_of_Trades,EMA,RSI,Upper_Band,Lower_Band,Buy_Signal,Sell_Signal
2022-01-29,37716.57,38720.74,37268.44,38166.84,26129.49682,1643500799999,816601,44381.1208291993,28.99827030259027,44093.16906250523,33220.98950892335,0,0
2022-01-30,38166.83,38359.26,37351.63,37881.76,21430.66527,1643587199999,698593,44149.00079958504,28.338773091145853,43097.56576767925,33475.17851803503,0,0
2022-01-31,37881.75,38744.0,36632.61,38466.9,36855.2458,1643673599999,936014,43946.06862817129,34.03256148031605,42278.056041223186,33761.156815919676,0,0
2022-02-01,38466.9,39265.2,38000.0,38694.59,34574.44663,1643759999999,917617,43758.515820022316,34.46511592347595,41251.91623312893,34264.79233829963,0,0
2022-02-02,38694.59,38855.92,36586.95,36896.36,35794.6813,1643846399999,907905,43513.43882645009,31.504855914415998,40110.84183270972,34725.34531014743,0,0
2022-02-03,36896.37,37387.0,36250.0,37311.61,32081.10999,1643932799999,848961,43291.94493979116,36.31951899667538,39108.54298767113,35246.315583757445,0,0
2022-02-04,37311.98,41772.33,37026.73,41574.25,64703.95874,1644019199999,1380724,43230.59869194148,70.779577516145,40532.835625358304,34554.72866035598,0,-1
2022-02-05,41571.7,41913.69,40843.01,41382.59,32532.34372,1644105599999,1006352,43164.598381514996,78.27820777179461,41267.581051993235,34721.57894800677,0,-1
2022-02-06,41382.6,42656.0,41116.56,42380.87,22405.16704,1644191999999,788291,43136.608082175175,77.93243398256774,42288.07787899449,34577.69926386264,0,-1
2022-02-07,42380.87,44500.5,41645.85,43839.99,51060.62006,1644278399999,1473274,43161.72886495463,79.84666856231617,43610.349023904906,34281.09097609508,0,0
2022-02-08,43839.99,45492.0,42666.0,44042.99,64880.29387,1644364799999,1653350,43193.20247692054,79.6862704346172,44689.59486974932,34213.94084453639,0,0
2022-02-09,44043.0,44799.0,43117.92,44372.72,34428.16729,1644451199999,1066395,43235.3281027448,81.21926936628442,45602.726974389,34381.29159703958,0,0
2022-02-10,44372.71,45821.0,43174.01,43495.44,62357.29091,1644537599999,1541483,43244.61781336106,75.06099760756469,46093.16631411137,34795.90082874577,0,0
2022-02-11,43495.44,43920.0,41938.51,42373.73,44975.1687,1644623999999,1169354,43213.514677169595,67.63399567893899,46280.43647168085,35273.940671176286,0,0
2022-02-12,42373.73,43079.49,41688.88,42217.87,26556.85681,1644710399999,830322,43177.955938699255,65.6886900524915,46402.005068749146,35731.09064553656,0,0
